Subsystem,Priority,Blocker,Current state,Primary file area,Fix path,Acceptance check,Provenance
terakan,P1,Missing VK_KHR_display instance extension,vkmark display-path enumeration fails,src/amd/terascale/vulkan,Implement extension if feasible or classify as a hard stop,display-path tools stop failing at instance creation,results/terascale_probe_tranche_20260401_222559
terakan,P1,X11 presentation requires DRI3,xlib presentation blocked at runtime,Terakan WSI + X11 path,Fix DRI3-present path or classify the forwarded-X11 limitation,vkcube --wsi xlib reaches presentation without DRI3 error,results/x130e_terascale/README.md
r600-compute,P0,Global binding API mismatch,Four Rusticl tests blocked,src/gallium/drivers/r600/evergreen_compute.c,Support Rusticl plain pipe_resource global bindings,Blocked Rusticl tests stop failing for this cause,TERAKAN_CONFORMANCE_PLAN.md
r600-compute,P0,SFN spill-to-scratch fallback missing,Complex kernels exceed 123 GPRs,src/gallium/drivers/r600/sfn,Implement spill candidate selection and scratch insertion,clpeak bandwidth and failing compute kernels stop aborting,RUSTICL_BASELINE.md
toolchain,P1,Rust nightly rust-target string breaks bindgen 0.71.1,Locally routed around with user wrapper,/home/eirikr/.local/bin/bindgen and build-terakan-distcc,Normalize as local prerequisite or upstreamable fix,fresh build completes without ad-hoc manual intervention,tmux build log 2026-04-01
system,P2,perf_event_paranoid blocks non-root perf stat,Root perf captures now work via cached sudo but non-root perf remains gated,/proc/sys/kernel/perf_event_paranoid,Decide whether to lower paranoid globally or keep root-owned perf tranches,perf stat succeeds in the intended trace lane without ad-hoc recovery,results/terascale_root_perf_tranche_20260401_232930
vulkan,P0,Terakan common compute path still lacks the full vk_shader bridge,Minimal shader_ops guard bridge is now wired and targeted probes fail cleanly with VK_ERROR_FEATURE_NOT_PRESENT instead of segfaulting,src/amd/terascale/vulkan/terakan_device.c + terakan_shader.c,Implement the real vk_shader compile wrapper plus serialize/deserialize and pipeline-cache integration,Targeted Vulkan compute probes create pipelines or fail with stage-specific driver diagnostics only,results/terascale_manual_diagnostics_20260402/README.md
vulkan,P1,Sparse draw crash in dEQP,Known crash path,dEQP-VK.draw.*,Add sparse image query guard and rerun,Draw smoke no longer crashes,TERAKAN_CONFORMANCE_PLAN.md
winsys,P1,Submission cleanup hotspot,Measured CPU overhead,libgallium/radeon winsys,Trace queue teardown and reduce cleanup cost,perf/IBS shows reduced time in radeon_cs_context_cleanup,FULL_STACK_PROFILE_MESA26.md
probe-program,P1,OpenCL probe numerics remain pathological,Harnesses now run across scalar vec4 integer and occupancy lanes but still produce huge checksums and high nan_count,probes/r600/opencl + Rusticl PALM lane,Expand packed/int/uint and int24-style sweeps and add typed-output host paths to classify overflow packing and lowering behavior,Profile sweeps produce stable bounded values or a documented hardware or driver limit,results/terascale_manual_diagnostics_20260402/README.md
zink,P1,DRI3/syncobj gating,Dependent lane blocked,radeon kernel + Terakan WSI,Re-evaluate only after swapchain and kernel capability proof,Zink smoke path reaches stable execution,MEMORY_NOTES.md
