trace,schema
cpu_time_profiler.trace,device-thermal-state-intervals
cpu_time_profiler.trace,dyld-library-load
cpu_time_profiler.trace,gcd-perf-event
cpu_time_profiler.trace,global-poi-layout
cpu_time_profiler.trace,global-roi-layout
cpu_time_profiler.trace,hang-risks
cpu_time_profiler.trace,kdebug
cpu_time_profiler.trace,kdebug-signpost
cpu_time_profiler.trace,kdebug-strings
cpu_time_profiler.trace,life-cycle-period
cpu_time_profiler.trace,os-log
cpu_time_profiler.trace,os-log-arg
cpu_time_profiler.trace,os-signpost
cpu_time_profiler.trace,os-signpost-arg
cpu_time_profiler.trace,potential-hangs
cpu_time_profiler.trace,process-info
cpu_time_profiler.trace,region-of-interest
cpu_time_profiler.trace,roi-metadata
cpu_time_profiler.trace,runloop-events
cpu_time_profiler.trace,thread-info
cpu_time_profiler.trace,tick
cpu_time_profiler.trace,time-profile
cpu_time_profiler.trace,time-sample
gpu_baseline.trace,ca-client-buffer-wait-interval
gpu_baseline.trace,ca-client-present-request
gpu_baseline.trace,ca-client-presented-handler
gpu_baseline.trace,device-display-info
gpu_baseline.trace,device-gpu-info
gpu_baseline.trace,device-thermal-state-intervals
gpu_baseline.trace,display-compositor-events-interval
gpu_baseline.trace,display-compositor-interval
gpu_baseline.trace,display-events-interval
gpu_baseline.trace,display-surface-queue
gpu_baseline.trace,display-surface-swap
gpu_baseline.trace,display-vsyncs-interval
gpu_baseline.trace,displayed-surfaces-interval
gpu_baseline.trace,displayed-surfaces-per-second
gpu_baseline.trace,dyld-library-load
gpu_baseline.trace,gpu-aps-stream
gpu_baseline.trace,gpu-counter-info
gpu_baseline.trace,gpu-counter-value
gpu_baseline.trace,gpu-performance-device-state-intervals
gpu_baseline.trace,gpu-performance-state-info
gpu_baseline.trace,gpu-performance-state-intervals
gpu_baseline.trace,gpu-shader-profiler-interval
gpu_baseline.trace,gpu-shader-profiler-sample
gpu_baseline.trace,graphics-compiler-activity-intervals
gpu_baseline.trace,hang-risks
gpu_baseline.trace,kdebug
gpu_baseline.trace,kdebug-strings
gpu_baseline.trace,life-cycle-period
gpu_baseline.trace,metal-application-command-buffer-submissions
gpu_baseline.trace,metal-application-encoders-list
gpu_baseline.trace,metal-application-event-interval
gpu_baseline.trace,metal-application-intervals
gpu_baseline.trace,metal-ar-events
gpu_baseline.trace,metal-command-buffer-completed
gpu_baseline.trace,metal-command-buffer-error
gpu_baseline.trace,metal-command-buffer-frame-assignment
gpu_baseline.trace,metal-command-buffer-to-accelerator-id
gpu_baseline.trace,metal-current-allocated-size
gpu_baseline.trace,metal-driver-event-intervals
gpu_baseline.trace,metal-driver-event-per-thread-intervals
gpu_baseline.trace,metal-driver-intervals
gpu_baseline.trace,metal-gpu-counter-intervals
gpu_baseline.trace,metal-gpu-counter-profile
gpu_baseline.trace,metal-gpu-execution-points
gpu_baseline.trace,metal-gpu-info
gpu_baseline.trace,metal-gpu-intervals
gpu_baseline.trace,metal-gpu-state-intervals
gpu_baseline.trace,metal-gpu-submission-to-command-buffer-id
gpu_baseline.trace,metal-io-surface-access
gpu_baseline.trace,metal-kernel-resource-allocations
gpu_baseline.trace,metal-known-compositor-process
gpu_baseline.trace,metal-object-dependency-chain-app
gpu_baseline.trace,metal-object-dependency-chain-display
gpu_baseline.trace,metal-object-dependency-chain-driver
gpu_baseline.trace,metal-object-dependency-chain-gpu
gpu_baseline.trace,metal-object-label
gpu_baseline.trace,metal-residency-set-interval
gpu_baseline.trace,metal-residency-set-resource-event
gpu_baseline.trace,metal-residency-set-usage-event
gpu_baseline.trace,metal-resource-allocations
gpu_baseline.trace,metal-shader-profiler-intervals
gpu_baseline.trace,metal-shader-profiler-shader-list
gpu_baseline.trace,metal-visual-highlight-chain-app
gpu_baseline.trace,metal-visual-highlight-chain-display
gpu_baseline.trace,metal-visual-highlight-chain-driver
gpu_baseline.trace,metal-visual-highlight-chain-gpu
gpu_baseline.trace,metal-wired-sysmem-level-interval
gpu_baseline.trace,mps-hw-intervals
gpu_baseline.trace,os-log
gpu_baseline.trace,os-signpost
gpu_baseline.trace,os-signpost-arg
gpu_baseline.trace,potential-hangs
gpu_baseline.trace,process-info
gpu_baseline.trace,runloop-events
gpu_baseline.trace,thread-info
gpu_baseline.trace,tick
gpu_baseline.trace,time-info
gpu_baseline.trace,time-profile
gpu_baseline.trace,time-sample
gpu_baseline.trace,visual-chain
gpu_baseline.trace,visual-connection
gpu_compare.trace,device-thermal-state-intervals
gpu_compare.trace,dyld-library-load
gpu_compare.trace,gcd-perf-event
gpu_compare.trace,global-poi-layout
gpu_compare.trace,global-roi-layout
gpu_compare.trace,hang-risks
gpu_compare.trace,kdebug
gpu_compare.trace,kdebug-signpost
gpu_compare.trace,kdebug-strings
gpu_compare.trace,life-cycle-period
gpu_compare.trace,os-log
gpu_compare.trace,os-log-arg
gpu_compare.trace,os-signpost
gpu_compare.trace,os-signpost-arg
gpu_compare.trace,potential-hangs
gpu_compare.trace,process-info
gpu_compare.trace,region-of-interest
gpu_compare.trace,roi-metadata
gpu_compare.trace,runloop-events
gpu_compare.trace,thread-info
gpu_compare.trace,tick
gpu_compare.trace,time-profile
gpu_compare.trace,time-sample
